Date,Open,High,Low,Close,Adj Close,Volume
2009-02-25,1.660000,1.670000,1.640000,1.670000,1.469948,141400
2009-02-26,1.650000,1.650000,1.630000,1.630000,1.434740,44000
2009-02-27,1.630000,1.630000,1.620000,1.620000,1.425937,52200
2009-03-02,1.620000,1.620000,1.560000,1.560000,1.373125,22900
2009-03-03,1.560000,1.560000,1.550000,1.550000,1.364323,101400
2009-03-04,null,null,null,null,null,null
2009-03-05,1.580000,1.580000,1.540000,1.540000,1.355521,20400
2009-03-06,1.530000,1.530000,1.530000,1.530000,1.346719,10300
2009-03-09,1.510000,1.510000,1.490000,1.490000,1.311510,42400
2009-03-10,1.490000,1.490000,1.490000,1.490000,1.311510,5900
2009-03-11,1.520000,1.540000,1.520000,1.540000,1.355521,6700
2009-03-12,null,null,null,null,null,null
2009-03-13,1.550000,1.570000,1.550000,1.570000,1.381927,21000
2009-03-16,null,null,null,null,null,null
2009-03-17,1.600000,1.600000,1.580000,1.580000,1.390729,10500
2009-03-18,1.590000,1.590000,1.590000,1.590000,1.399531,100000
2009-03-19,1.600000,1.600000,1.590000,1.600000,1.408334,70000
2009-03-20,1.600000,1.600000,1.600000,1.600000,1.408334,10000
2009-03-23,1.630000,1.660000,1.630000,1.660000,1.461146,64000
2009-03-24,1.730000,1.730000,1.690000,1.710000,1.505156,127800
2009-03-25,1.710000,1.710000,1.690000,1.700000,1.496354,11100
2009-03-26,1.730000,1.770000,1.730000,1.770000,1.557969,29400
2009-03-27,1.780000,1.780000,1.740000,1.760000,1.549167,17200
2009-03-30,1.740000,1.740000,1.680000,1.680000,1.478750,7000
2009-03-31,1.670000,1.720000,1.670000,1.710000,1.505156,18200
2009-04-01,1.710000,1.720000,1.710000,1.720000,1.513958,4300
2009-04-02,1.750000,1.800000,1.750000,1.800000,1.584375,125000
2009-04-03,1.820000,1.830000,1.800000,1.810000,1.593177,77800
2009-04-06,1.830000,1.830000,1.830000,1.830000,1.610781,11000
2009-04-07,1.820000,1.820000,1.790000,1.790000,1.575573,2200
2009-04-08,1.770000,1.780000,1.770000,1.780000,1.566771,2400
2009-04-09,1.820000,1.840000,1.820000,1.840000,1.619583,8000
2009-04-13,1.880000,1.890000,1.870000,1.880000,1.654792,28300
2009-04-14,1.870000,1.890000,1.870000,1.870000,1.645990,42300
2009-04-15,1.860000,1.900000,1.860000,1.890000,1.663594,23200
2009-04-16,1.940000,1.950000,1.900000,1.900000,1.672396,28200
2009-04-17,1.950000,1.950000,1.900000,1.900000,1.672396,22700
2009-04-20,1.900000,1.900000,1.890000,1.890000,1.663594,4500
2009-04-21,null,null,null,null,null,null
2009-04-22,1.880000,1.880000,1.840000,1.840000,1.619583,25000
2009-04-23,1.850000,1.850000,1.850000,1.850000,1.628386,40000
2009-04-24,1.850000,1.850000,1.850000,1.850000,1.628386,16000
2009-04-27,1.830000,1.830000,1.820000,1.830000,1.610781,24100
2009-04-28,1.830000,1.830000,1.800000,1.810000,1.593177,56900
2009-04-29,1.800000,1.850000,1.800000,1.850000,1.628386,11500
2009-04-30,1.870000,1.910000,1.870000,1.900000,1.672396,26000
2009-05-01,null,null,null,null,null,null
2009-05-04,1.930000,2.030000,1.930000,2.020000,1.778021,55400
2009-05-05,2.060000,2.090000,2.050000,2.080000,1.830833,92700
2009-05-06,2.080000,2.190000,2.080000,2.190000,1.927657,87900
2009-05-07,2.220000,2.270000,2.220000,2.250000,1.980469,95600
2009-05-08,2.260000,2.300000,2.220000,2.290000,2.015677,61600
2009-05-11,2.320000,2.320000,2.200000,2.200000,1.936459,35700
2009-05-12,2.180000,2.210000,2.170000,2.200000,1.936459,148200
2009-05-13,2.210000,2.230000,2.210000,2.220000,1.954062,12800
2009-05-14,2.180000,2.180000,2.140000,2.140000,1.883646,261000
2009-05-15,2.180000,2.180000,2.140000,2.140000,1.883646,210500
2009-05-18,2.150000,2.190000,2.140000,2.190000,1.927657,212000
2009-05-19,2.250000,2.280000,2.250000,2.260000,1.989271,260200
2009-05-20,2.290000,2.290000,2.270000,2.290000,2.015677,251000
2009-05-21,2.300000,2.300000,2.250000,2.250000,1.980469,472500
2009-05-22,2.240000,2.260000,2.240000,2.260000,1.989271,259900
2009-05-25,2.280000,2.290000,2.270000,2.280000,2.006875,185000
2009-05-26,2.270000,2.290000,2.270000,2.270000,1.998073,470000
2009-05-27,2.300000,2.360000,2.280000,2.320000,2.042083,927600
2009-05-28,2.300000,2.310000,2.270000,2.300000,2.024479,299300
2009-05-29,2.310000,2.360000,2.310000,2.350000,2.068490,305200
2009-06-01,2.370000,2.420000,2.370000,2.420000,2.130105,45300
2009-06-02,2.460000,2.460000,2.390000,2.390000,2.103698,95700
2009-06-03,2.420000,2.450000,2.400000,2.400000,2.112500,345800
2009-06-04,2.400000,2.400000,2.350000,2.350000,2.068490,207100
2009-06-05,2.400000,2.420000,2.400000,2.410000,2.121302,35000
2009-06-08,2.420000,2.430000,2.340000,2.340000,2.059687,132100
2009-06-09,2.350000,2.370000,2.330000,2.350000,2.068490,282400
2009-06-10,2.390000,2.390000,2.370000,2.390000,2.103698,213000
2009-06-11,2.420000,2.420000,2.380000,2.390000,2.103698,316800
2009-06-12,2.390000,2.400000,2.380000,2.380000,2.094896,52500
2009-06-15,2.380000,2.380000,2.330000,2.350000,2.068490,81400
2009-06-16,2.330000,2.330000,2.280000,2.310000,2.033281,236300
2009-06-17,2.310000,2.310000,2.280000,2.300000,2.024479,93400
2009-06-18,2.280000,2.280000,2.270000,2.270000,1.998073,24000
2009-06-19,2.280000,2.300000,2.270000,2.280000,2.006875,220700
2009-06-22,2.310000,2.310000,2.310000,2.310000,2.033281,2000
2009-06-23,2.270000,2.270000,2.240000,2.260000,1.989271,13500
2009-06-24,2.260000,2.300000,2.250000,2.300000,2.024479,763000
2009-06-25,2.310000,2.320000,2.300000,2.300000,2.024479,558000
2009-06-26,2.340000,2.340000,2.320000,2.320000,2.042083,116000
2009-06-29,2.400000,2.400000,2.320000,2.320000,2.042083,588200
2009-06-30,2.360000,2.360000,2.340000,2.340000,2.059687,530000
2009-07-01,2.330000,2.350000,2.330000,2.350000,2.068490,506000
2009-07-02,2.370000,2.380000,2.320000,2.320000,2.042083,782100
2009-07-03,2.320000,2.330000,2.320000,2.320000,2.042083,2300
2009-07-06,2.320000,2.320000,2.290000,2.290000,2.015677,54300
2009-07-07,2.290000,2.290000,2.290000,2.290000,2.015677,4700
2009-07-08,2.290000,2.290000,2.260000,2.290000,2.015677,10000
2009-07-09,null,null,null,null,null,null
2009-07-10,null,null,null,null,null,null
2009-07-13,2.310000,2.310000,2.280000,2.280000,2.006875,7700
2009-07-14,2.320000,2.340000,2.310000,2.320000,2.042083,48000
2009-07-15,2.360000,2.380000,2.360000,2.380000,2.094896,8000
